country,date,lat,lng,type,purpose,yield
USA,1945 JUL 16,33.6753,-106.4747,AS-T,WR,21
USA,1945 AUG 5,34.3914,132.4581,A-AD,C,15
USA,1945 AUG 9,32.7702,129.8657,A-AD,C,21
USA,1946 JUN 30,11.58,165.5,A-AD,WE,21
USA,1946 JUL 24,11.5833,165.5,UW,WE,21
USA,1948 APR 14,11.67,162.24,AS-T,WR,37
USA,1948 APR 30,11.62,162.33,AS-T,WR,49
USA,1948 MAY 14,11.56,162.35,AS-T,WR,18
USA,1951 JAN 27,36.8,-115.95,A-AD,WR,1
USA,1951 JAN 28,36.8,-115.95,A-AD,WR,8
USA,1951 FEB 1,36.8,-115.95,A-AD,WR,1
USA,1951 FEB 2,36.8,-115.95,A-AD,WR,8
USA,1951 FEB 6,36.8,-115.95,A-AD,WR,22
USA,1951 APR 7,11.5558,162.3544,AS-T,WR,81
USA,1951 APR 20,11.6689,162.2403,AS-T,WR,47
USA,1951 MAY 8,11.6269,162.3147,AS-T,WR,225
USA,1951 MAY 24,11.673,162.2486,AS-T,WR,45.5
USA,1951 OCT 22,37.0839,-116.0239,AS-T,WR,0.05
USA,1951 OCT 28,37.085,-116.02,A-AD,WR,3.5
USA,1951 OCT 30,37.085,-116.0203,A-AD,WR,14
USA,1951 NOV 1,37.0847,-116.0197,A-AD,WR,21
USA,1951 NOV 5,37.0919,-116.0244,A-AD,WR,31
USA,1951 NOV 19,37.1317,-116.0386,AS,WE,1.2
USA,1951 NOV 29,37.1697,-116.0425,CR,WE,1.2
USA,1952 APR 1,36.7983,-115.9356,A-AD,WE,1
USA,1952 APR 15,37.0842,-116.0194,A-AD,WE,1
USA,1952 APR 22,37.0844,-116.0203,A-AD,WR,31
USA,1952 MAY 1,37.0842,-116.0203,A-AD,WR,19
USA,1952 MAY 7,37.0531,-116.1056,AS-T,WR,12
USA,1952 MAY 25,37.0956,-116.1056,AS-T,WR,11
USA,1952 JUN 1,37.0481,-116.0211,AS-T,WR,15
USA,1952 JUN 5,37.1386,-116.1178,AS-T,WR,14
USA,1952 OCT 31,11.2372,162.1964,AS,WR,10400
USA,1952 NOV 15,11.5622,162.3525,A-AD,WR,500
USA,1953 MAR 17,37.0478,-116.0211,AS-T,WR,16
USA,1953 MAR 24,37.0956,-116.1028,AS-T,WR,24
USA,1953 MAR 31,37.0828,-116.0239,AS-T,WR,0.2
USA,1953 APR 6,37.0847,-116.018,A-AD,WR,11
USA,1953 APR 11,37.0989,-116.0925,AS-T,WR,0.2
USA,1953 APR 18,37.1383,-116.1178,AS-T,WR,23
USA,1953 APR 25,37.0531,-116.1028,AS-T,WR,43
USA,1953 MAY 8,36.8,-115.9289,A-AD,WE,27
USA,1953 MAY 19,37.0403,-116.0253,AS-T,WR,32
USA,1953 MAY 25,36.7931,-115.9147,A,WR,15
USA,1953 JUN 4,37.0875,-116.0183,A-AD,WR,61
USA,1954 FEB 28,11.6908,165.2736,AS,WR,15000
USA,1954 MAR 26,11.6908,165.273,AW-BG,WR,11000
USA,1954 APR 6,11.4967,165.3675,AS,WR,110
USA,1954 APR 25,11.6664,165.3872,AW-BG,WR,6900
USA,1954 MAY 4,11.6656,165.3869,AW-BG,WR,13500
USA,1954 MAY 13,11.6705,162.1964,AW-BG,WR,1690
USA,1955 FEB 18,37.0867,-116.0219,A-AD,WE,1
USA,1955 FEB 22,37.0478,-116.0211,AS-T,WR,2
USA,1955 MAR 1,37.1255,-116.0475,AS-T,WR,7
USA,1955 MAR 7,37.1383,-116.1175,AS-T,WR,43
USA,1955 MAR 12,37.0403,-116.0253,AS-T,WR,4
USA,1955 MAR 22,37.0947,-116.0239,AS-T,WR,8
USA,1955 MAR 23,37.1683,-116.0439,CR,WE,1
USA,1955 MAR 29,37.0956,-116.1028,AS-T,WR,14
USA,1955 MAR 29,37.0867,-116.0578,A-AD,WR,3
USA,1955 APR 6,37.0286,-116.0578,A-AD,WE,3
USA,1955 APR 9,37.1222,-116.0344,AS-T,WR,2
USA,1955 APR 15,36.7981,-115.9289,AS-T,WE,22
USA,1955 MAY 5,37.0531,-116.1025,AS-T,WR,29
USA,1955 MAY 14,28.7333,-126.2667,UW,WE,30
USA,1955 MAY 15,37.0947,-116.0239,AS-T,WR,28
USA,1955 NOV 1,36.9,-115.95,AS,SE,0
USA,1955 NOV 3,36.9,-115.95,AS,SE,0
USA,1955 NOV 5,36.9,-115.95,AS,SE,0
USA,1956 JAN 18,36.9,-115.95,AS,SE,0.01
USA,1956 MAY 4,11.5578,162.355,AS,WR,40
USA,1956 MAY 20,11.6683,165.3942,A-AD,WR,3800
USA,1956 MAY 27,11.4967,165.3692,AS,WR,3500
USA,1956 MAY 27,11.62,162.33,AS-T,WR,0.19
USA,1956 MAY 30,11.5444,162.3644,AS-T,WR,14.9
USA,1956 JUN 6,11.6764,162.2222,AS,WR,13.7
USA,1956 JUN 11,11.6,165.4514,AW-BG,WR,365
USA,1956 JUN 11,11.5511,162.3586,AS-T,WR,8
USA,1956 JUN 13,11.62,162.33,AS-T,WR,1.49
USA,1956 JUN 16,11.5467,162.3608,A-AD,WR,1.7
USA,1956 JUN 21,11.63,162.35,AS-T,WR,15.2
USA,1956 JUN 25,11.6028,165.4514,AW-BG,WR,1100
USA,1956 JUL 2,11.63,162.31,AS-T,WR,360
USA,1956 JUL 8,11.6714,162.2003,AW-BG,WR,1850
USA,1956 JUL 10,11.6633,165.3872,AW-BG,WR,4500
